title,plot,Οικογενειακή,Δραμεντί,Περιπέτεια,Κωμωδία,Δράσης,Αισθηματική,Δραματική,Θρίλερ,Δραματικό Θρίλερ,Φαντασίας,Επιστημονικής Φαντασίας,Εποχής
'Τέρατα κι Εξωγήινοι',"Όταν ένας μετεωρίτης από το διάστημα χτυπά ξαφνικά τη Σούζαν Μέρφι, την ημέρα του γάμου της, εκείνη αποκτά τεράστιες διαστάσεις και μεταμορφώνεται σε Γιγάντικα, με αποτέλεσμα να μεταφερθεί εσπευσμένα από τον στρατό σε μια μυστική κυβερνητική βάση όπου φυλάσσονται και άλλα τέρατα: ο Μπομπ, μια άμορφη, ανεγκέφαλη μπλε μάζα, ο Συνδετικός Κρίκος, ο Καθηγητής Κατσαρίδας και ένας τεραστίων διαστάσεων εντομόσαυρος. Όταν όμως εξωγήινοι κάνουν την εμφάνιση τους κι απειλούν τη Γη με καταστροφή, ο πρόεδρος αποφασίζει πως οι μόνοι που μπορούν να την υπερασπιστούν και να συντρίψουν τους εξωγήινους είναι αυτά τα τέρατα.",1,0,0,1,1,0,0,0,0,0,1,0
'Περσόνα',"Η Ελβίρα, διάσημη ηθοποιός, καταρρέει κατά τη διάρκεια μιας παράστασης και κλείνεται στη σιωπή της. Αποσύρεται σε ένα παραθαλάσσιο ησυχαστήριο με μόνη συντροφιά μια νοσοκόμα, την Άλμα. Τις επόμενες εβδομάδες, η Άλμα προσπαθεί να προσεγγίσει την ασθενή της με σκοπό να τη θεραπεύσει από την ψυχική και σωματική βύθιση της. Σύντομα, μεταξύ των δυο γυναικών αναπτύσσεται μια βαθιά, υπαρξιακή επικοινωνία.",0,0,0,0,0,0,1,0,1,0,0,0
'Ο Ατσάλινος Γίγαντας',"1957, καταμεσής του Ψυχρού Πολέμου. Το μόνο που επιθυμεί ο 9χρονος Χόγκαρθ είναι να σκαρφίζεται συνεχώς ιστορίες με εισβολές εξωγήινων στη Γη. Μια μέρα, όμως, τυχαίνει να ακούσει έναν ψαρά να πληροφορεί τους φίλους του πως είδε ένα πανύψηλο ρομπότ να πέφτει από τον ουρανό μέσα στη γειτονική λίμνη. Ο Χόγκαρθ δεν αργεί να φτάσει εκεί, όπου θα ανακαλύψει το ρομπότ και θα το βγάλει από τη λίμνη, ενώ ο Ντιν, φίλος του Χόγκαρθ και γλύπτης, αναλαμβάνει να κρύψει το παράξενο αυτό εύρημα στην αποθήκη του. Σύντομα, στη μικρή πόλη καταφθάνει ο Κεντ Μάνσλεϊ, ένας κυβερνητικός πράκτορας που πληροφορήθηκε για την ύπαρξη του ρομπότ και τώρα θέλει να το βγάλει από τη μέση. Εντωμεταξύ, ο Χόγκαρθ και το ρομπότ, που του αρέσει να τρώει μεταλλικά αντικείμενα, γίνονται καλοί φίλοι.",1,1,1,0,1,0,0,0,0,0,1,0
'Οι Διώκτες του Εγκλήματος',"Λος Άντζελες, 1949. Ο αδίστακτος μαφιόζος Μίκι Κοέν έχει πάρει τον έλεγχο της πόλης, αποκτώντας περιουσία από ναρκωτικά, όπλα, πορνεία και κάθε στοίχημα που παίζεται στα δυτικά του Σικάγο. Κι όλα αυτά, απολαμβάνοντας την προστασία όχι μόνο των πρωτοπαλίκαρών του, αλλά της αστυνομίας και των πολιτικών που κρατάει στο χέρι. Με τόση δύναμη, είναι εύκολο να τρομοκρατήσει ακόμα και τους πιο γενναίους αστυνομικούς της πιάτσας… εκτός ίσως από μια μικρή μυστική ομάδα της αστυνομίας του Λος Άντζελες, με επικεφαλής τον αστυνόμο Τζον Ο’Μάρα και τον Τζέρι Γούτερς, που θα ενώσουν τις δυνάμεις τους για να διαλύσουν τον κόσμο του Κοέν.",0,0,0,0,1,0,0,1,0,0,0,1
'Το Τελευταίο Τρένο για τη Γιούμα',"Ο Μπεν Γουέιντ, αρχηγός μιας συμμορίας παρανόμων, συλλαμβάνεται σε μια μικρή πόλη και πρέπει να μεταφερθεί στη Γιούτα για να δικαστεί. Η συμμορία του όμως είναι αποφασισμένη να τον απελευθερώσει, και πρέπει να βρεθεί ένας τρόπος για να φτάσει στο δικαστήριο πριν ανακαλύψουν τα ίχνη του. Ένας απλός χωρικός, ο Νταν Έβανς, αναλαμβάνει τη δύσκολη αυτή αποστολή έναντι χρημάτων, και τον κρύβει σε ένα κοντινό ξενοδοχείο μέχρι να έρθει το τρένο για τη Γιούτα. Στο σύντομο αυτό διάστημα, θα αναπτύξουν μια έντονη σχέση που θα τους μάθει πολλές άγνωστες πτυχές του χαρακτήρα τους.",0,0,0,0,1,0,0,0,0,0,0,1
'Ναζαρέν',"Στις αρχές του 20ού αιώνα, στο Μεξικό του δικτάτορα Ντιάζ, ο νεαρός ιερέας Ναζαρέν ζει σε μια φτωχική πανσιόν, χωρίς να έχει δική του ενορία, εφαρμόζοντας όμως πιστά τις διδαχές του ευαγγελίου, κυρίως σε ό,τι αφορά στην αγάπη προς τον πλησίον και στην αλληλεγγύη. Ο ίδιος προσφέρει καταφύγιο στην πόρνη Άνταρα, η οποία καταζητείται για απόπειρα φόνου, και βοηθά τη χωριατοπούλα Μπεατρίς που αποπειράθηκε να αυτοκτονήσει όταν την εγκατέλειψε ο εραστής της. Κάποια στιγμή, οι δύο γυναίκες φεύγουν μαζί, ενώ ο Ναζαρέν δέχεται αυστηρότατες επικρίσεις από τις εκκλησιαστικές αρχές για τη στάση και τη συμπεριφορά του. Τότε αποφασίζει να γίνει αναχωρητής και να ζει σαν «φτωχούλης του Θεού», περιπλανώμενος και με ελεημοσύνες. Αργότερα, σ’ ένα χωριό ξανασυναντά την Μπεατρίς και την Άνταρα, οι οποίες τον ακολουθούν, καθώς τον θεωρούν άγιο. Ωστόσο, ο κόσμος θεωρεί ανήθικο και αιρετικό ένας ιερέας να συνοδεύεται και να κυκλοφορεί με δύο γυναίκες. Η πίστη του Ναζαρέν στην ύπαρξη του Θεού αρχίζει να κλονίζεται…",0,0,0,0,0,0,1,0,0,0,0,1
'Μια Βραδιά στο Νότινγκ Χιλ',"Ένα μοιραίο παιχνίδι της τύχης, και ο Γουίλιαμ Θάκερ, ιδιοκτήτης βιβλιοπωλείου στο κέντρο του Νότινγκ Χιλ, γνωρίζεται με τη διάσημη αμερικανίδα ηθοποιό Αν Σκοτ. Σύντομα, ένα φλογερό ειδύλλιο αναπτύσσεται ανάμεσά τους και η σχέση τους θα δοκιμαστεί από τον κοινωνικό περίγυρο του Γουίλιαμ, καθώς όλοι αναρωτιούνται τι δουλειά έχει ο απλός αυτός βιβλιοπώλης με μια σταρ του σινεμά.",0,0,0,0,0,1,0,0,0,0,0,0
'Τη Νύχτα που ο Φερνάντο Πεσσόα Συνάντησε τον Κωνσταντίνο Καβάφη',"Στις 21 Οκτωβρίου του 1929, το υπερωκεάνιο Saturnia ξεκινά από την Τεργέστη το ταξίδι του προς την Αμερική, μαζεύοντας μετανάστες από τα λιμάνια της Μεσογείου. Ένας νεαρός Έλληνας που επιβιβάζεται στην Πάτρα θα γίνει μάρτυρας μιας απρόσμενης συνάντησης: μια νύχτα, σ’ αυτό το πλοίο που κουβαλά τα όνειρα του Νέου Κόσμου, θα λάβει χώρα η εξίσου ονειρική αλλά και πραγματική συνάντηση δύο μεγάλων ποιητών του αιώνα που πέρασε: του Φερνάντο Πεσσόα και του Κωνσταντίνου Καβάφη.",0,0,0,0,0,0,0,0,0,0,0,1
'Ένα Σκληρό Φιλί για Καληνύχτα',"Η Σαμάνθα Κέιν, δασκάλα στο επάγγελμα, υποφέρει από αμνησία. Όταν το μυστηριώδες παρελθόν της αρχίζει να στοιχειώνει την ειδυλλιακή ζωή της, η νεαρή γυναίκα βάζει σκοπό να ανακαλύψει την πραγματική της ταυτότητα. Ερευνώντας επίμονα, με τη βοήθεια ενός ιδιωτικού αστυνομικού, συγκλονίζεται μαθαίνοντας πως στην πραγματικότητα είναι η Τσάρλι Μπάλτιμορ, μυστική πράκτορας, μπλεγμένη σε μια θανάσιμη συνωμοσία, ικανή να εξαρθρώσει τα υψηλά κλιμάκια της αμερικανικής κυβέρνησης. Τώρα, βρίσκεται αντιμέτωπη μ’ έναν εκδικητικό εχθρό του παρελθόντος, που απήγαγε την 8χρονη κόρη της. Ψάχνοντας να βρει το παιδί της, τα μητρικά ένστικτα της Τσάρλι θα έρθουν σε σύγκρουση με τον ψυχρό εκτελεστή που κρύβεται μέσα της.",0,0,0,0,1,0,0,1,0,0,0,0
'Η Θεία από το Σικάγο',"Ο κυρ Χαρίλαος, απόστρατος στρατηγός και οικογενειάρχης με παλιές αρχές, έχει τέσσερις κόρες. Οι τρεις έχουν φτάσει σε ηλικία παντρειάς. Όμως, τις έχει μεγαλώσει με στρατιωτική πειθαρχία. Η αδερφή του, η Καλλιόπη, μια πανέξυπνη χήρα, γυρίζει απ’ το Σικάγο όπου ζει χρόνια, για να παντρέψει τις κοπέλες. Αυτή η μοντέρνα θεία φέρνει με τον ερχομό της ριζικές αλλαγές στο σπίτι τους, και ιδιαίτερα εφευρίσκει μια πρωτότυπη μέθοδο για να παντρέψει τις ανιψιές της.",0,0,0,1,0,1,0,0,0,0,0,0
'Καλά Χριστούγεννα',"Παραμονή Χριστουγέννων, 1914. Ο Α’ Παγκόσμιος Πόλεμος μαίνεται με ιδιαίτερη σφοδρότητα. Οι στρατοί της Γαλλίας, της Γερμανίας και της Μεγάλης Βρετανίας βρίσκονται στα γαλλο-ελβετικά σύνορα, καθηλωμένοι μετά από πολύμηνες μάχες. Έχουν εγκλωβιστεί στα χαρακώματα, μέσα στη λάσπη, χωρίς να μπορούν να ξεφύγουν και να περάσουν τα Χριστούγεννα με τις οικογένειές τους. Όμως, σε κάποιο από τα χαρακώματα ακούγεται μουσική. Οι τρεις αρχηγοί των στρατών έρχονται σε επαφή και αποφασίζουν να κάνουν ανακωχή για τη γιορτή των Χριστουγέννων. Την επόμενη ημέρα, οι στρατιώτες αρνούνται να συνεχίσουν τον πόλεμο, προκαλώντας την οργή των διοικητών τους.",0,0,0,0,0,0,1,0,0,0,0,1
'Χωρίς Διέξοδο',"Ο Σαμ Γκίλεν, κατάδικος που εκτίει μια σκληρή ποινή για ένα έγκλημα που δεν διέπραξε, κατορθώνει να αποδράσει από τη φυλακή. Μετά την απόδρασή του βρίσκει καταφύγιο στο σπίτι της Κλάιντι, μιας χήρας με δύο παιδιά, την οποία τρομοκρατεί ένας αδίστακτος επιχειρηματίας με αποκλειστικό κίνητρο το κέρδος.",0,0,0,0,1,1,0,1,1,0,0,0
'Ο Άνθρωπος Αντίγραφο',"Ο Άνταμ Μπελ είναι ένας σκυθρωπός καθηγητής ιστορίας που δείχνει έλλειψη ενδιαφέροντος ακόμα και για έρωτα με τη φίλη του, Μαίρη. Παρακολουθώντας μια ταινία, βλέπει τον σωσία του στο πρόσωπο ενός ηθοποιού, του Άντονι Κλερ, που παίζει έναν μικρό ρόλο. Ο Άνταμ αποφασίζει πως αυτή την περιπέτεια θέλει να ζήσει, και ξεκινάει να τον αναζητά. Όταν οι δύο πανόμοιοι άντρες συναντιούνται, οι ζωές τους γίνονται περίεργα αλληλένδετες.",0,0,0,0,0,0,0,1,0,0,0,0
'Μυστικός Πράκτορας Σαρπ: Επιχείρηση Μαζορέτες',"Όταν πέντε ζωηρές μαζορέτες γίνονται μάρτυρες του φόνου ενός πληροφοριοδότη σε υπόθεση ναρκωτικών, χρειάζονται 24ωρη επιτήρηση για να μη γίνουν τα επόμενα θύματα. Ο σκληρός ρέιντζερ του Τέξας υπαστυνόμος Ρόλαντ Σαρπ μεταμφιέζεται σε βοηθό προπονητή και εγκαθίσταται στη φοιτητική εστία τους. Αλλά αυτές οι σουσουράδες θέλουν μόνο να περνάνε καλά, και ο συντηρητικός Σαρπ μαθαίνει ότι δεν είναι εύκολο να πειθαρχείς και να προστατεύεις τις αχαλίνωτες φοιτητριούλες.",0,0,0,1,0,0,0,0,0,0,0,0
'Ψάχνοντας τη Χώρα του Ποτέ',"Λονδίνο, 1903. Μετά από κάποια θεατρική αποτυχία, ο Τζ. Μ. Μπάρι γνωρίζει τη χήρα Ντέιβις και τα τέσσερα παιδιά της. Περνώντας πολλές ώρες μαζί τους, αρχίζει να γράφει για τα παιδιά που δεν ήθελαν να μεγαλώσουν. Στο διάστημα αυτό η σχέση του με την οικογένεια της κυρίας Ντέβις θα παρεξηγηθεί από την πουριτανική κοινωνία του Λονδίνου, και θα προκαλέσει μαύρα σύννεφα στον γάμο του.",1,0,0,0,0,0,1,0,0,0,0,1
'Λευκά Χριστούγεννα',"Δύο φιλαράκια από τον στρατό γίνονται ένα πολύ πετυχημένο μουσικοχορευτικό δίδυμο. Θα γνωρίσουν δύο όμορφες κοπέλες που έχουν κι αυτές ταλέντο στην ίδια τέχνη, και θα τις ακολουθήσουν ως το Βερμόντ που έχουν κλείσει παράσταση. Μόνο που θα ανακαλύψουν ότι ο χρηματοδότης είναι ο παλιός τους διοικητής.",0,0,0,0,0,1,0,0,0,0,0,0
'Ματίλντα',"Η Ματίλντα, ένα κοριτσάκι με ιδιαίτερες όσο και μαγικές ικανότητες, έχει την ατυχία να είναι κόρη κρετίνων, που θεωρούν τη μόρφωση μειονέκτημα και ασχολούνται με απατεωνιές, τηλεόραση και λούσα. Θα μορφωθεί μόνη της, θα βρεθεί σε ένα σχολείο όπου η διευθύντρια παραπέμπει στους δράκους των παραμυθιών, και θα γίνει η καλύτερη φίλη με μια καθηγήτρια που έζησε άσχημα παιδικά χρόνια, μέχρι να βρει τρόπο να απαλλαγεί από τους γονείς της.",1,0,0,1,0,0,0,0,0,1,0,0
'Μπαμπάς για Γκολ',"Κατά συρροή εργένης, ο σούπερ σταρ των γηπέδων Τζο Κίνγκμαν ζει την απόλυτη φαντασίωση: είναι πλούσιος, διάσημος και η ψυχή του πάρτι. Αλλά το όνειρο μοιάζει να καταρρέει, όταν ανακαλύπτει ότι έχει μια 7χρονη κόρη. Τώρα κι ενώ καλείται να αφοσιωθεί στην καριέρα του, συνδυάζει πάρτι, προπονήσεις και ραντεβού με μαθήματα μπαλέτου, παραμύθια και κούκλες, που πάνε πακέτο με την κόρη του. Δύσκολοι καιροί για πατέρες, όμως ο Τζο θα συνειδητοποιήσει ότι υπάρχει και κάτι άλλο από τα λεφτά και τη δόξα των χιλιάδων θαυμαστών: καμιά φορά ένας μικρός θαυμαστής είναι υπεραρκετός.",1,0,0,1,0,0,0,0,0,0,0,0
'Παρ’το από την Αρχή',"Η Γκρέτα κι ο Ντέιβ είναι αγαπημένο ζευγάρι από το κολέγιο, και μαζί γράφουν τραγούδια. Όταν ο Ντέιβ κλείνει συνεργασία με μεγάλη εταιρία, μετακομίζουν για τη Νέα Υόρκη. Η φήμη όμως του Ντέιβ τον παρακινεί σε ξεπορτίσματα, και η Γκρέτα αναγκάζεται να τον εγκαταλείψει και να γυρίσει στην Αγγλία. Τότε γνωρίζει τον Νταν, διευθυντή μιας ανεξάρτητης δισκογραφικής εταιρίας, κι αναγνωρίζοντας το ταλέντο της, της ζητά να γράψουν ένα ντέμο.",0,1,0,0,0,1,0,0,0,0,0,0
'Skyline',"Μετά από ένα βραδινό πάρτι, μια παρέα φίλων ξυπνούν από ένα απόκοσμο φως που μπαίνει από το παράθυρο. Το φως τραβάει τον κόσμο έξω από τα σπίτια του και τον αφομοιώνει μέσα του. Σύντομα, η παρέα ανακαλύπτει πως το φως σκοπεύει να απορροφήσει όλο τον παγκόσμιο πληθυσμό, και πως πρόκειται για εισβολή πανίσχυρων εξωγήινων. Τώρα, ως επιζώντες, πρέπει να παλέψουν για τη ζωή τους, καθώς ο κόσμος διαλύεται γύρω τους.",0,0,0,0,1,0,0,1,0,0,1,0
'Οι Ασυγχώρητοι',"Ο Γουίλιαμ Μάνι είναι ένας πρώην παράνομος, που προσπαθεί να ξεχάσει το παρελθόν του. Έχουν περάσει έντεκα χρόνια από τότε που εγκατάλειψε το όπλο του, αφήνοντας πίσω του μια φοβερή φήμη αδίστακτου φονιά. Τώρα ζει ήρεμα με τον γιο του και την κόρη του, φροντίζοντας το κτήμα του, στο Κάνσας. Η οικονομική του κατάσταση είναι άσχημη και το κτήμα δεν του αποφέρει τα απαραίτητα προς το ζην. Όταν ο Σκότφιλντ Κιντ, κυνηγός επικηρυγμένων, τον επισκέπτεται και του ζητάει τη βοήθειά του για να εντοπίσει δυο καουμπόης που κακοποίησαν μια πόρνη, ο Μάνι αποφασίζει να δεχτεί. Ο Σκότφιλντ όμως του επισημαίνει ότι ο σερίφης της πόλης όπου έγινε ο φόνος, ο Λιτς Μπιλ Ντάγκετ, είναι πρώην πιστολέρο και έδειξε ιδιαίτερη ανοχή απέναντι στους κακοποιούς.",0,0,0,0,0,0,0,0,1,0,0,1
'Ο Τελευταίος Μεγάλος Ήρωας',"Ο νεαρός Ντάνι Μάντιγκαν είναι θαυμαστής του Τζακ Σλέιτερ, του πρωταγωνιστή της μεγάλης οθόνης που παίζει πάντα σε έργα δράσης. Όταν ένας ηλικιωμένος φίλος του που δουλεύει σε μια κινηματογραφική αίθουσα τού δίνει ένα μαγικό εισιτήριο που του είχε χαρίσει κάποτε ο μάγος Χουντίνι, ο Ντάνι μεταφέρεται μαγικά μέσα στη δράση της ταινίας όπου πρωταγωνιστεί ο αγαπημένος του ηθοποιός, ο οποίος όμως δεν μπορεί να πιστέψει πως η ζωή του υπάρχει μόνο και μόνο για τον κινηματογράφο. Και τα μπερδέματα μόλις ξεκινούν.",0,0,1,1,1,0,0,0,0,1,0,0
'Yogi Bear',"Ο Γιόγκι ανέκαθεν επαφιόνταν στην ευστροφία και την ταχύτητά του για να βρίσκεται πάντα ένα βήμα μπροστά από τους αμέριμνους κι ανυποψίαστους εκδρομείς, και ταυτόχρονα να εκνευρίζει αφάνταστα τον «τιμωρό» του, τον δασονόμος Σμιθ. Αυτή τη φορά, όμως, ο Μπου Μπου και ο Γιόγκι πρόκειται να αντιμετωπίσουν κάτι πολύ χειρότερο απ’ ό,τι έχουν αντιμετωπίσει όλα αυτά τα χρόνια. Κι αυτό γιατί πολύ απλά το Τζέλιστοουν Παρκ βγαίνει προς πώληση. Για να καλύψει τα χρήματα που έφαγε από τα δημοτικά κονδύλια προκειμένου να χρηματοδοτήσει την προεκλογική εκστρατεία του, ο δήμαρχος Μπράουν σκοπεύει να πουλήσει το πάρκο σε υλοτόμους. Ο Γιόγκι, ο Μπου Μπου και οι φίλοι τους θα αναγκαστούν να εγκαταλείψουν το σπίτι τους. Αντιμέτωπος με την μεγαλύτερη πρόκληση της ζωή τους, ο Γιόγκι πρέπει να αποδείξει ότι είναι πράγματι πιο έξυπνος από μια μέση αρκούδα και θα συνάψει μια ιερή συμμαχία με τον δασονόμος Σμιθ προκειμένου να αποτρέψουν το κλείσιμο του πάρκου.",1,0,0,1,0,0,0,0,0,1,0,0
